WARNING 2026-05-16 10:50:35,251 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:50:35,313 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:51:59,236 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:51:59,294 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:52:01,278 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:52:01,296 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:52:11,495 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:52:11,546 log Forbidden: /api/auth/approvals/
ERROR 2026-05-16 10:58:56,532 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:05,240 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:22,014 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:22,105 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:22,166 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:22,207 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:39,600 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:39,637 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:39,678 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:39,713 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:39,757 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:39,801 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:39,841 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:39,892 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:41,960 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:42,043 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:42,085 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 10:59:42,123 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:47,191 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:47,240 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:47,280 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:47,310 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:47,351 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:47,390 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:47,430 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:47,474 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:48,435 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:48,475 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:48,519 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:03:48,560 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:05,714 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:05,785 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:05,836 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:05,885 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:05,923 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:05,955 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:06,046 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:06,089 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:06,125 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:06,159 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:06,201 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:06,243 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:06,343 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:06,401 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:53,970 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:53,998 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:54,027 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:54,062 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:54,087 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:54,104 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:54,120 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:54,139 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:54,158 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:54,177 log Internal Server Error: /api/dashboard/manager/
